algorithm,key_size_bits,message_size_bytes,avg_ciphertext_bytes,expansion_ratio,overhead_bytes,samples
RSA-2048,2048,16,300.0,18.75,284.0,10
RSA-2048,2048,32,316.0,9.88,284.0,10
RSA-2048,2048,64,348.0,5.44,284.0,10
RSA-2048,2048,128,412.0,3.22,284.0,10
RSA-2048,2048,256,540.0,2.11,284.0,10
RSA-2048,2048,512,796.0,1.55,284.0,10
RSA-3072,3072,16,428.0,26.75,412.0,10
RSA-3072,3072,32,444.0,13.88,412.0,10
RSA-3072,3072,64,476.0,7.44,412.0,10
RSA-3072,3072,128,540.0,4.22,412.0,10
RSA-3072,3072,256,668.0,2.61,412.0,10
RSA-3072,3072,512,924.0,1.8,412.0,10
ECC-256,256,16,109.0,6.81,93.0,10
ECC-256,256,32,125.0,3.91,93.0,10
ECC-256,256,64,157.0,2.45,93.0,10
ECC-256,256,128,221.0,1.73,93.0,10
ECC-256,256,256,349.0,1.36,93.0,10
ECC-256,256,512,605.0,1.18,93.0,10
ECC-384,384,16,141.0,8.81,125.0,10
ECC-384,384,32,157.0,4.91,125.0,10
ECC-384,384,64,189.0,2.95,125.0,10
ECC-384,384,128,253.0,1.98,125.0,10
ECC-384,384,256,381.0,1.49,125.0,10
ECC-384,384,512,637.0,1.24,125.0,10
ElGamal-2048,2048,16,556.0,34.75,540.0,10
ElGamal-2048,2048,32,572.0,17.88,540.0,10
ElGamal-2048,2048,64,604.0,9.44,540.0,10
ElGamal-2048,2048,128,668.0,5.22,540.0,10
ElGamal-2048,2048,256,796.0,3.11,540.0,10
ElGamal-2048,2048,512,1052.0,2.05,540.0,10
ElGamal-3072,3072,16,812.0,50.75,796.0,10
ElGamal-3072,3072,32,828.0,25.88,796.0,10
ElGamal-3072,3072,64,860.0,13.44,796.0,10
ElGamal-3072,3072,128,924.0,7.22,796.0,10
ElGamal-3072,3072,256,1052.0,4.11,796.0,10
ElGamal-3072,3072,512,1308.0,2.55,796.0,10
