algorithm,key_size_bits,data_size_kb,enc_time_ms,dec_time_ms,total_time_ms,enc_throughput_mbps,dec_throughput_mbps,total_throughput_mbps,iterations
AES-128,128,0.25,0.0581,0.0057,0.0638,4.2,42.55,3.83,100
AES-128,128,1.0,0.0065,0.0058,0.0123,150.19,169.45,79.62,100
AES-128,128,10.0,0.0116,0.0071,0.0187,843.25,1371.58,522.2,100
AES-128,128,100.0,0.0612,0.0185,0.0797,1594.99,5276.72,1224.78,100
AES-128,128,1024.0,0.8815,0.6335,1.515,1134.42,1578.48,660.05,100
AES-128,128,10240.0,7.8952,5.0707,12.9659,1266.59,1972.12,771.26,100
AES-256,256,0.25,0.0109,0.0098,0.0207,22.38,24.91,11.79,100
AES-256,256,1.0,0.0066,0.0057,0.0123,148.68,171.54,79.65,100
AES-256,256,10.0,0.0128,0.0069,0.0198,761.39,1410.4,494.46,100
AES-256,256,100.0,0.0791,0.0203,0.0995,1234.05,4801.43,981.73,100
AES-256,256,1024.0,1.0596,0.6218,1.6813,943.8,1608.32,594.77,100
AES-256,256,10240.0,9.9033,5.3214,15.2247,1009.76,1879.21,656.83,100
DES,64,0.25,0.0169,0.0152,0.0321,14.44,16.11,7.62,100
DES,64,1.0,0.0271,0.0263,0.0534,36.02,37.14,18.28,100
DES,64,10.0,0.2138,0.2094,0.4232,45.67,46.64,23.08,100
DES,64,100.0,2.0569,2.0172,4.0741,47.48,48.41,23.97,100
DES,64,1024.0,21.4408,21.1891,42.6299,46.64,47.19,23.46,100
DES,64,10240.0,213.5613,210.8143,424.3756,46.82,47.44,23.56,100
3DES,192,0.25,0.017,0.0154,0.0325,14.32,15.82,7.52,100
3DES,192,1.0,0.027,0.0263,0.0533,36.19,37.17,18.34,100
3DES,192,10.0,0.2113,0.2074,0.4187,46.21,47.09,23.32,100
3DES,192,100.0,2.0585,2.0258,4.0843,47.44,48.21,23.91,100
3DES,192,1024.0,21.4085,21.1528,42.5613,46.71,47.28,23.5,100
3DES,192,10240.0,213.083,210.2719,423.355,46.93,47.56,23.62,100
Blowfish,128,0.25,0.033,0.0312,0.0642,7.4,7.83,3.81,100
Blowfish,128,1.0,0.0307,0.0305,0.0612,31.76,32.06,15.96,100
Blowfish,128,10.0,0.0747,0.0734,0.1481,130.67,133.04,65.92,100
Blowfish,128,100.0,0.5168,0.5029,1.0197,188.97,194.17,95.77,100
Blowfish,128,1024.0,5.3878,5.4137,10.8015,185.6,184.72,92.58,100
Blowfish,128,10240.0,52.8856,53.0089,105.8945,189.09,188.65,94.43,100
